Date,Record Number,Record Type,Description,Project Name,Status,Short Notes
4/25/2021,BCP2021-040876,Building - Construction Permit,Online Permit - Remove existing roof . Application of Certainteed Landmark shingles over Prima Top Shield peel and stick underlayment.,Tony DeLauro,Received,Roof
4/24/2021,BCP2021-040875,Building - Construction Permit,Online Permit - 283 LF OF 6' HIGH WOOD FENCE,RAFFINAN,Received,Fence
4/23/2021,BCP2021-040874,Building - Over the Counter Permit,"Online Permit - A/C Change Out - 3 mini splits- equal change out from wall units (Air Handler,Condenser)",Third Way Realty,Active,A/C Change Out
4/23/2021,BCP2021-040873,Building - Over the Counter Permit,"Online Permit - A/C Change Out - E/C/O 2 Ton Split System  5 KW (Air Handler,Condenser)",Imperial Gardens I-14,Active,A/C Change Out
4/23/2021,BCP2021-040870,Building - Over the Counter Permit,Online Permit - Electrical - Replace riser pipe and rooftop conductors,916 Edenville Ave,Active,Electrical
4/23/2021,BCP2021-040869,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO 3 TON 14 SEER ST COOL SPLIT SYS W/8KW HEAT. COMFORTMAKER COND MOD# NXA436GKC, A/H MOD # FEM4P3600AL (Air Handler,Condenser)",WHITTAKER,Active,A/C Change Out
4/23/2021,BCP2021-040862,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - Replace existing Water Heater,Swierk Residence,Active,Water Heater Change Out
4/23/2021,BCP2021-040854,Building - Over the Counter Permit,Online Permit - Water Service - Extending shower pan to make it larger,Shower Renovation,Active,Water Service
4/23/2021,BCP2021-040852,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal AC unit change out. 2 Ton H/P York M#YEE24B21S AND M#AE24BBA21 14 SEER (Air Handler,Condenser)","Tebbe, Diana",Active,A/C Change Out
4/23/2021,BCP2021-040850,Building - Over the Counter Permit,Online Permit - Electrical - Replace meter & panel (Upgrade Service),Renard Marc,Active,Electrical
4/23/2021,BCP2021-040848,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO - Trane XR15 3.5 ton heat pump system 15 SEER with 5kw heaterA/H- GAM5B0C42Cond - 4TWR5042 (Air Handler,Condenser)",Hill,Active,A/C Change Out
4/23/2021,BCP2021-040846,Building - Over the Counter Permit,Online Permit - Cut and Cap - Sewer cut and cap for demo,1604 Druid Rd,Active,Cut and Cap
4/23/2021,BCP2021-040845,Building - Over the Counter Permit,"Online Permit - A/C Change Out - Equal change out 2 1/2 ton 14 seer vertical s/.c split system with 7.5 kw heat (Air Handler,Condenser)",1010,Active,A/C Change Out
4/23/2021,BCP2021-040844,Building - Over the Counter Permit,"Online Permit - A/C Change Out - ECO - Trane XR15 2.5 ton Heat pump system 15 SEER with 5kw heaterA/H - TEM6A0B30Cond- 4TWR5030 (Air Handler,Condenser)",Grounds,Active,A/C Change Out
4/23/2021,BCP2021-040842,Building - Over the Counter Permit,Online Permit - Water Heater Change Out - water heater replacement,"Tyler, James",Active,Water Heater Change Out
4/23/2021,21TMP-005862,Building - Over the Counter Permit,A/C Equal Change out - New 4 Ton Carrier 16 Seer Model #'s CU: 25HPB648A003 AH: FVCNB006L00 Replace existing duct work,A/C Equal Change Out,,
4/23/2021,21TMP-005853,Building - Over the Counter Permit,"Fence was installed by neighbor on owners property, code violation was filed",Fence,,
4/23/2021,21TMP-005808,Building - Construction Permit,SET 92) 120 AG PROPANE TANKS (96 GALLONS EACH) PIPE TO A GENERATOR AND CONNECT. GENERATOR BY OTHERS.,O;DONNELL DIAN,,
4/23/2021,BCP2021-040877,Building - Construction Permit,Online Permit - Remove existing roof. Replace with a new 30-year architectural roof.,Roof Replacement,Received,Roof
4/23/2021,BCP2021-040871,Building - Construction Permit,"Online Permit - Re-roof, shingle to shingle, peel and stick",Margy Roberts,Received,Roof
4/23/2021,BCP2021-040868,Building - Construction Permit,Online Permit - REPLCAING EXTERIOR FRONT DOOR AND EXTERIOR BACK DOOR SIZE FOR SIZE fl # 12509.3 and 22363.1,HANNAH,In Review,"Windows, Doors and Garage Doors"
4/23/2021,BCP2021-040867,Building - Construction Permit,Online Permit - In-ground pool & spa with paver deck & footer,Reese Pool,Received,Other
4/23/2021,BCP2021-040866,Building - Construction Permit,Online Permit - Installing 16' of 4'high blk aluminum with a walk gate,HarborView Grande c/o Phil Day,Received,Fence
4/23/2021,BCP2021-040865,Building - Construction Permit,Online Permit - REMOVE & REPLACE SIZE/SIZE 6 WINDOWS. INSTALL 4 HURRICANE SHIELDS.,NORDBY,Additional Info Required,"Windows, Doors and Garage Doors"
4/23/2021,BCP2021-040864,Building - Construction Permit,REMOVE AND REPLACE WINDOW,WRIGHT,Review Approved,Replacement
4/23/2021,BCP2021-040863,Building - Construction Permit,Online Permit - installing 161' of 6' high pvc with 2 walk gates,David Theinert,In Review,Fence
4/23/2021,BCP2021-040861,Building - Construction Permit,"Online Permit - Building 1465- Equal replacement of 600 amp service disconnect and meter stacks for seven units, plus a house panel.",Normandy Park,In Review,Repair
4/23/2021,BCP2021-040860,Building - Construction Permit,Online Permit - Replacing exterior front door exterior side garage door and exterior house to garage door size for size Fl # 22513.6 22378.2 20468.2,Telford,In Review,"Windows, Doors and Garage Doors"
4/23/2021,BCP2021-040859,Building - Construction Permit,Online Permit - Installing 63' of 6' high pvc with a gate,Diana Herrod,In Review,Fence
4/23/2021,BCP2021-040858,Building - Construction Permit,Online Permit - Installing 245' of 6' high pvc with 1 walk and 1 dd gate,Thomas Clark,In Review,Fence
4/23/2021,BCP2021-040857,Building - Construction Permit,"Online Permit - <300K - 30SQ 1STY 3/12 PITCH: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. INSTALL A APOC, WEATHER ARMOR SB-1 UNDERLAYMENT (FL27076-R1) INSTALL A GAF SHINGLE (FL10124-R29)",MCKEEL,Active,Roof
4/23/2021,BCP2021-040856,Building - Construction Permit,"Online Permit - <300K - 31SQ 1STY 4/12 PITCH: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. INSTALL A APOC, WEATHER ARMOR SB-1 UNDERLAYMENT (FL27076-R1) INSTALL A GAF SHINGLE (FL10124-R29)5SQ 1STY FLAT ROOF: TEAR OFF EXISTING ROOF MATERIAL AND RENAIL DECK TO CODE. INSTALL A RESISTO MODIFIED BITUMEN ROOF SYSTEM. (FL17084-R10)",BUCY,Active,Roof
